Code,Consignee Name,Customs Importer Classification,Primary Address,Delivery Address,primary_address,Primary Contact,Default UNLOCO
CAMMACMNL,CAMARODEN MACAANDAR BANTE,,,,,,PHMNL
CONELEMNL,CONTROLGEAR ELECTRIC CORPORATION,,,,,,PHMNL
BLADIAAMS,BLACK DIAMOND EUROPE,,,,,,NLAMS
OMNLINMNL,OMNI-LINK GLOBAL LOGISTICS INC.,,,,,,PHMNL
PREPROMDW,PRESTONE PRODUCTS LLC,,,,,,USCHI
NMDARCMNL,NMDC ARCHITECTURAL FIRM,,,,,,PHMNL
CEICARMNL,CEI CARGO OPC,,,,,,PHMNL
PINMUHDVO,PINK MUHLY,,,,,,PHDVO
PUEPRIMNL,PUERTO PRIMERA INCORPORATED,,,,,,PHMNL
KPPPOWMNL,KPP POWERS COMMODITES INC,,,,,,PHMNL
EPIDRIFAA,EPIROC DRILLING TOOLS AB,,,,,,SEFAA
MARMACLGB,MARIA MACABALES,,,,,,USLGB
CLATRAMNL,CLARK TRAVEL RETAIL CORP.,,,,,,PHMNL
SCACONCEB,SCAN CONSUMER GOODS TRADING,,,,,,PHCEB
PROLIQSIN,PRO LIQUID PTE LTD,,,,,,SGSIN
RICPROTPE,"RICH PROTE TRADING CO., LTD",,,,,,TWTPE
RAYDIGSCL,RAYLEX DIGINET S.A.,,,,,,CLSCL
ZHEYIPZHE,ZHEJIANG YIPU METAL MANUFACTURING CO LTD.,,,,,,CNZHE
TTSALVSIN,T&T SALVAGE ASIA PTE LTD.,,,,,,SGSIN
NOREXPHKG,NORMAN EXPRESS (CHINA) LTD HKG,,,,,,HKHKG
BAJELELKR,"BAJA ELECTRONICS TECHNOLOGY (THAILAND) CO.,LTD.",,,,,,THLKR
HRLTECBNE,HRL TECHNOOLGY GROUP PT LTD.,,,,,,AUBNE
ERIMAGAFE,ERIEZ MAGNETICS PTY. LTD,,,,,,AUVTP
LIGHTUSDF,LIGHTUPTOYS.COM,,,,,,USLUI
SVIARE,SVI S.P.A.,,,,,,ITARE
MTSTRUMNL,MTS TRUCKING INCORPORATED,,,,,,PHMNL
SAZCORMNL,SAZA CORP.,,,,,,PHMNL
BIOEURMNL,BIOREGEN EURO INC.,,,,,,PHMNL
PHIJAPCEB,"PHIL-JAPAN METALS AND REFINED PRODUCTS CO., INC.",,,,,,PHCEB
GENELECEB,GENTEC ELECTRIK CORP.,,,,,,PHCEB
FOSLIAFOS1,"FOSHAN LIANJIANG FURNITURE CO., LTD.",,,,,,CNFOS
SKRPROMNL,SKRENE PROPERTIES INC.,,,,,,PHMNL
RMSROBCEB,RMS ROBSHIP MARINE SUPPLY INC.,,,,,,PHCEB
GRAMACMNL,GRAND MACHINERY INC,,,,,,PHMNL
SHAAKEHKG,SHANE AKEROYD COLLECTION,,,,,,HKHKG
INFQUAMNL1,INFINITE QUALITY DESIGNS CENTER INC.,,,,,,PHMNL
TDSSEAAFE,TDS SEAEVER EXHIBITION SERVICE CO LTD,,,,,,CNSZX
CRACLOMNL,CRAFT CLOTHING,,,,,,PHMNL
WONWORLAX,WONDER WORKSHOP INC.,,,,,,USLAX
NUTCDOCGY,NUTRIMAX CDO PLANT,,,,,,PHCGY
FARTIBFXT,FARMASOL TIBBİ ÜRÜNLER SAN. VE TİC. A.Ş.,,,,,,GBFXT
AECTRAHPH,AECP TRADING SERVICE AND TRANSPORT COMPANY LIMITED,,,,,,VNHPH
KWATRADVO,KWAYNE TRADING CORPORATION,,,,,,PHDVO
ZHOUNIAFE,ZHONGZHAN UNION INTERNATIONAL,,,,,,CNBJS
BMEXPRMNL,BM EXPRESS INT'L SERVICES INCORPORATED,,,,,,PHMNL
REBUFFJNB,REBUFF PTY LTD.,,,,,,ZAJNB
BROPHISFS,BROWAVE (PHILIPPINES ) CORPORATION,,,,,,PHSFS
WIILOGTLL,WIIMA LOGISTICS OÜ,,,,,,EETLL
HALCHISHA,HALMA CHINA GROUP,,,,,,CNSGH
MARCHRSYD,MARIA CHRISTINA GEMA ROXAS,,,,,,AUSYD
GOLBLDDVO,GOLDYLAB BLDG.,,,,,,PHDVO
TOKELEXMN,TOKIN ELECTRONICS XIAMEN CORPORATION,,,,,,CNXAM
PRIFREJKT1,PT. PRIME FREIGHT INDONESIA,,,,,,IDJKT
BENLOGAFE,BENBY LOGISTICS SOLUTIONS INC.,,,,,,PHMNL
NINGMFNGB,"NINGBO GMF TELECOM TECHNOLOGY CO.,LTD",,,,,,CNNBO
LEGREMHIP,LEGENCY REMEDIES (PVT) LTD,,,,,,INHIP
HARINTSHA,HARDROC INTERNAT,,,,,,CNSGH
IMPBEOSAI,IMPORTADORA BE ORGANICS SPA.,,,,,,CLSAI
MAXSSIN,MAXS SINGAPORE,,,,,,SGSIN
OPPMANHKG,OPPORTUNITY MANAGEMENT GROUP LTD,,,,,,HKHKG
QEMINTIAH,QEMI INTERNATIONAL INC.,,,,,,USHOU
ASIAGRBKK,"ASIATIC AGRO INDUSTRY CO., LTD.",,,,,,THBKK
PHIENTMNL1,PHILCANTECH ENTERPRISE,,,,,,PHMNL
GLOPOWTPE,GLOBAL POWER LOGISTICS SERVICES INC.,,,,,,TWTPE
DONELEMNL,DONGSHENG ELECTRONICS PHILIPPINES CORPORATION,,,,,,PHMNL
QACMNLAFE,QACH INC.,,,,,,PHMNL
SAUAIRJED1,SAUDI ARABIAN AIRLINES,,,,,,SAJED
MASLENMNL,MASTING LENS TECHNOLOGY PHILS INC.,,,,,,PHMNL
CARINDMNL1,CARBONMASTER INDUSTRIAL SALES INC.,,,,,,PHMNL
ENERECSFO,"ENERGY RECOVERY, INC.",,,,,,USSFO
SKYGREBUN,SKY GREEN IMPORTS INCORPORATED,,,,,,PHBUN
CARBIOCGY,CAREWELL BIO MEDICAL SYSTEM CO,,,,,,PHCGY
LYNTRAMNL,LYNSYSTEM TRADING,,,,,,PHMNL
ULTFORALY,ULTRA FOR MEDICAL PRODUCTS CO. (ULTRAMED),,,,,,EGALY
ATLCOPORB,ATLAS COPCO ROCK DRILLS AB,,,,,,SEORB
HOT8TAAFE,HOTEL 8 TAGAYTAY,,,,,,PHMNL
HIGSTAMNL,HIGH STACK FORWARD INC,,,,,,PHMNL
RAPRACLON,RAPHA RACING LTD,,,,,,GBLON
SYNPHIMNL2,"SYNGENTA PHILIPPINES, INC",,,,,,PHMNL
CHRDIOTPE,CHRISTIAN DIOR TAIWAN LIMITED,,,,,,TWTPE
FIERREGOA,FIERRE S.R.L.,,,,,,ITGOA
CTTECHMNL,CT-TECHNOLOGIES INC.,,,,,,PHMNL
TAKSANAFE,TAKACHIHO SANGYO CO LTD,,,,,,JPNGO
COREXPMNL,"CORDILLERA EXPLORATION CO., INC.",,,,,,PHMNL
SANMIGMAFE,SAN MIGUEL YAMAMURA PACKAGING CORPORATION,,,,,,PHMNL
MERCONMNL1,MERRAKI CONSUMER GOODS TRADING,,,,,,PHMNL
MASHONSAP,MASTERLINE GROUP - HONDURAS,,,,,,HNSAP
SANMIGMNL3,SAN MIGUEL FOODS INC,,,,,,PHMNL
CORPREMNL1,CORONATION PREMIUM MANUFACTURING INC.,,,,,,PHMNL
SCECOMAUH,SCENT COMMUNITY PERFUMES,,,,,,AEAUH
LIOFARMNL,LIONHEART FARMS (PHILIPPINES) CORPORATION,,,,,,PHMNL
COCCOLILO,COCA-COLA BOTTLERS PHILS,,,,,,PHILO
JASGALMNL,JASON GALANG ATIENZA,,,,,,PHMNL
VERISTAFE,VERA LOGISTICS,,,,,,TRIST
SMTMALSZX,SMT MALLS ELECTRONICS TECHNOLOGY (HK) LIMITED,,,,,,CNSNZ
HARINTAFE,HARLAS INT’L TRANSPORT SA,,,,,,GRATH
FENOUTRTM,FENIX OUTDOOR LOGISTICS GMBH,,,,,,NLRTM
BVWORKANT,BV WORKX,,,,,,BEANT
LULATHBHX,LULULEMON ATHELTICA CANADA INC.,,,,,,GBBHM
HARBROMNL,HARDCORE BROTHERS CUSTOMS MOTORCYCLES INC.,,,,,,PHMNL
BRACOLMNL,BRAND COLLECTIVE INC.,,,,,,PHMNL
SAMMQUMFM,SAMMQUATTRO MACAU COMPANY LTD.,,,,,,MOMFM
MARHOSMNL,MARIAN HOSPITAL OF STA. ROSA INC,,,,,,PHMNL
ATMMEDLZK,ATMOS MEDIZINTECHNIK GMBH & CO. KG,,,,,,DELZK
MANENGPNQ,MANIK ENGINEERS,,,,,,INPNQ
DSHGLOPIS,DSH GLOBAL LOGISTICS,,,,,,ATPIS
SHOAWEDVO,SHOCK AND AWE INDUSTRIAL CORP.,,,,,,PHDVO
CARDISMNL,CARBON DISTRIBUTION COMPANY INC.,,,,,,PHMNL
VIBTECSEK,VIBRANTZ TECHNOLOGIES (M) SDN BHD,,,,,,MYSEK
COCOWEUKB,COCOWELL CORPORATION,,,,,,JPUKB
LUXPHIMNL2,LUXACRAFT PHILS INCORPORATED,,,,,,PHMNL
VITSPAMNL,"VITAL SPARK HEALTHCARE SOLUTIONS, INC.",,,,,,PHMNL
LAGAREMNL,LA- GARENNE SALES CORP.,,,,,,PHMNL
FINMANCMB,FINTEK MANAGED SOLUTIONS (PVT) LTD,,,,,,LKCMB
KUAHAILPK,"KUAN HAI SDN BHD,",,,,,,MYLPK
PAKTECMKE,PAK TECH,,,,,,USMKE
ATLPACMNL1,ATLAS PACIFICA VENTURES OPC,,,,,,PHMNL
DOPLAZDVO,D.O PLAZA MEMORIAL HOSPITAL,,,,,,PHDVO
JEHTRADVO,JEHU TRADING CORP.,,,,,,PHDVO
SANCEFLAX,SANMARK CEFETRA PREMIUM OILS,,,,,,USLAX
WRINTEMNL,WR INTERNATIONAL FREIGHT FORWARDING CORPORATION,,,,,,PHMNL
CACPHILGU,CAC PHILIPINES INC,,,,,,PHLGU
ADVSUPAFE,ADVANCE SUPPORT JAPAN INC.,,,,,,JPTYO
WINLOGMNL1,WINTEX LOGISTICS CORPORATION,,,,,,PHMNL
YANBONSAD,"YANTAI BONWAY MANUFACTURER CO.,LTD",,,,,,CNSAD
GRAINDDEL1,GRAINPRO INDIA POST-HARVEST TECHNOLOGY PVT LTD.,,,,,,INDEL
MALNYCAFE,"MALCA-AMIT USA, LLC - NEW YORK",,,,,,USNYC
GPSGLOAFE,GPS GLOBAL,,,,,,NLALB
APABATBKK,APAISER BATHWARE (THAILAND) COMPANY LIMITED,,,,,,THBKK
WELCOMMNL,WELLSPRING COMMERCIAL OPC,,,,,,PHMNL
SHEOPECEB,SHELTERBOX OPERATIONS PHILS. INC,,,,,,PHCEB
KEMINTBLR,KEMPEGOWDA INTERNATIONAL AIRPORT,,,,,,INBLR
AERTECDXB,AERO TECHNICS FZCO,,,,,,AEDXB
CMZDENMNL,CMZ DENTAL SUPPLY AND GENERAL MERCHANDIZ,,,,,,PHMNL
TORBURATL,TORY BURCH LLC,,,,,,USATL
EPEQUISZV,"EP EQUIPMENT CO.,LTD.",,,,,,CNSZH
KLOTHEDTM,KLOPPER-THERM GMBH,,,,,,DEDTM
RBBECIMNL,RBBN ECI,,,,,,PHMNL
SEOAIRSEL,SEOUL AIR BASE,,,,,,KRSEL
SHEYOHAFE,"SHENZHEN YOHOO INTERNATIONAL LOGISTICS CO., LTD.",,,,,,PHMNL
CONBESMNL,CONCEPCION BESS SITE,,,,,,PHMNL
LUCHGYDVO,LUCKY HGY TRADING CORP.,,,,,,PHDVO
MARTOLTPZ,MARELLI TOLUCA MEXICO,,,,,,MXTPZ
OSYCONMNLAFE,OSYALI CONSTRUCTION AND TRADING INC.,,,,,,PHMNL
SILMINMNL,SILANGAN MINDANAO MINING CO INC,,,,,,PHMNL
CONAUTMNL,"CONTINENTAL AUTONOMOUS MOBILITY PHILIPPINES, INC",,,,,,PHMNL
SHISTAYTO,SHINY STAR CANADA LTD,,,,,,CATOR
HWAMAWRMQ,"HWA MAW MACHINE INDUSTRIAL CO., LTD.",,,,,,TWTXG
GANKALLGB,GANDANG KALIKASAN USA INC.,,,,,,USLGB
LAWDELBUN,LAWRENCE DEL FIERRO,,,,,,PHBUN
TECSYSVPI,TECKNOTROVE SYSTEMS (INDIA) PVT LTD,,,,,,INVPI
WELBUIMNL,WELL-BUILT SPECIALTY CONTRACTORS INC,,,,,,PHMNL
FANCHAMNL,FANG CHAN INC.,,,,,,PHMNL
KOUPACMNL,KOUFU PACKAGING CORPORATION,,,,,,PHMNL
FRITIDCPH,FRITIDSAGENTEN A/S,,,,,,DKCPH
MACROKMNL,MACROKOLD,,,,,,PHMNL
FORACCDKR,FOR THE ACCOUNT & RISK OF MESSRS,,,,,,SNDKR
AVIINTMEL,AVION INTERNATIONAL AUSTRALIA PTY LTD.,,,,,,AUMEL
FONSHABTG,FONG SHANN PRINTING PHILIPPINES INC,,,,,,PHBTG
VELDEVMNL,VELCO DEVELOPMENT CORPORATION,,,,,,PHMNL
DKHHONHKG,DKHS HONGKONG LIMITED,,,,,,HKHKG
SPAINDMNL,SPARK INDUSTRIES,,,,,,PHMNL
SHIMEDMHB,SHILPA MEDICARE LIMITED,,,,,,INMHB
SUMSPEPUS,"SUMMIT SPECIAL METAL CO. , LTD",,,,,,KRPUS
FPCTHABKK,"FPC (THAILAND) CO.,LTD",,,,,,THBKK
COLSHPGES,COLLINS SHPPING (FOR MV SEPURA),,,,,,PHGES
LCTLEAMNL,LCTSI - LEAD CORE TECHNOLOGY SYSTEM INCORPORATED,,,,,,PHMNL
GLOPROMNL,GLOBAL PROCUREMENT INC.,,,,,,PHMNL
DCPCUSCEB,DCP CUSTOMS BROKERAGE & GLOBAL TRANSPORT,,,,,,PHCEB
JOHMATMMX,JOHAN MATSANDERS,,,,,,SEMMX
UNIRAWNYC,UNIVERSAL RAW INGREDIENTS LLC,,,,,,USNYC
LIELOGSTU,LIEBHER LOGISTICS GMBH,,,,,,DESTU
JIASENNKG,"JIANGSU SENOLO MEDICAL TECHNOLOGY CO.,LTD",,,,,,CNNJI
MUTTHOMNL,"MUTUC, THOR JOURDAN COLAGON",,,,,,PHMNL
UBICQULAX,UBICQUIA INC.,,,,,,USLAX
AMBELEMNL,AMBAS ELECTRIC AND AUTOMATION,,,,,,PHMNL
MAYINDBTN,PT. MAYORA INDAH TBK,,,,,,IDBTN
FELLAWMNL,FELICIANO LAW OFFICE,,,,,,PHMNL
DAVSANAFE,DAVAO SAN EI TRADING,,,,,,PHMNL
JEIPROMNL,JEIKA PROPERTIES CORPORATION,,,,,,PHMNL
AELLMTAFE,AEL LIMITED INC,,,,,,PHMNL
REGHOMMNL,REGRAY STONES AND FURNITURES CORPORATION,,,,,,PHMNL
ROBBOSFRA,ROBERT BOSCH FAHRZEUGELEKTRIK EISENACH GMBH CO BCUBE THURINGEN GMBH,,,,,,DEFRA
PRIINTYVR,PRIMO INTERNATIONAL,,,,,,CAVAN
VENDESGOT,VENTURE DESIGN AB,,,,,,SEGOT
KAVISOGQQ,"KAVISO, LLC",,,,,,USGQQ
HUSZENPVG,"HUSQVARNA ZENOAH CHANGZHOUMACHINERY CO., LTD.",,,,,,CNPVG
XRAISTAFE,XRAY CENTER GUVENLIK SISTEMLERI A.S.,,,,,,TRAMB
VINAUSADL,VINARCHY AUSTRALIA LIMITED,,,,,,AUADL
SOLPANMNL,SOLARIS PANABO CORP.,,,,,,PHMNL
IFEAERLON,IFE AEROSPACE,,,,,,GBLON
AKRBRAGQQ,AKRON BRASS COMPANY,,,,,,USGQQ
ZIESOUJNB1,ZIEGLER SOUTH AFRICA (PTY) LTD,,,,,,ZAJNB
YANHANCEB,YANCY HANDICRAFT PRODUCTS WHOLESALING,,,,,,PHCEB
MARELELHR,"MARTINDALE ELECTRIC CO., LTD",,,,,,GBLHR
PORLEAAUS,PORTLAND LEATHER GOODS,,,,,,USAUS
DAEPHIMNL,DAESANG PHILIPPINES CORPORATION,,,,,,PHMNL
WUXHYDSHG,WUXI HYDRO ENVIRONMENTAL TECHNOLOGY CO LTD,,,,,,CNSHG
MARMARAFE,MARINE MAROC,,,,,,MACAS
NO23RDMLE,"NO.23 3RD FLOOR, ORCHID MAGU",,,,,,MVMLE
PHAPHABDQ,PHARMLITE PHARMACEUTICALS LLP,,,,,,INBDQ
QEVTECBCN,QEV TECHNOLOGIES S.L,,,,,,ESBCN
EATONKIQ,EATON CORPORATION,,,,,,USKIQ
INDCONMNL1,"INDUSTRIAL CONTROLS SYSTEMS, INC.",,,,,,PHMNL
