"Code","Shipper Name","Exporter Category","Default Currency","Country","Default Incoterm","Primary Address","Pick Address","Primary Contact","Default UNLOCO"
"SUZFURSZV","SUZHOU FURUKAWA POWER OPTIC CABLE CO., LTD.","","","","","","","","CNSZH"
"TAIGRATPE","TAIWAN GRACE INTERNATIONAL CORP.","","","","","","","","TWTPE"
"ZHECOHSHG","ZHENJIANG COHWABRUSH CO., LTD","","","","","","","","CNSHG"
"DEVAKUK","DEVA HOLDING A.S.","","","","","","","","TRKUK"
"EASLOGBKK","EASTWIND LOGISTICS CO., LTD","","","","","","","","THBKK"
"CONELEMNL","CONTROLGEAR ELECTRIC CORPORATION","","","","","","","","PHMNL"
"NANTUONTG","NANTONG TUORUI INTERNATIONAL TRADE CO., LTD","","","","","","","","CNNTG"
"RZLIGHSZX","RZ LIGHTING CO., LTD.","","","","","","","","CNSNZ"
"SCHLAGDUI","SCHADE LAGERTECHNIK GMBH","","","","","","","","DEDUI"
"PREPROMDW","PRESTONE PRODUCTS LLC","","","","","","","","USCHI"
"BNGMEDSHK","BNG MEDICAL INSTRUMENT CO. LTD.","","","","","","","","CNSHK"
"KOLTECRMQ","KOLOWA TECHNOLOGY CO., LTD.","","","","","","","","TWTXG"
"JIAHENZUH","JIANGMEN HENGYUAN LABEL TECHNOLOGY CO.,LTD","","","","","","","","CNZUH"
"PINMUHDVO","PINK MUHLY","","","","","","","","PHDVO"
"NITBELBRU","NITTO BELGIUM","","","","","","","","BEBRU"
"GRASUCTYN","GRAND SUCCESS CO., LTD.","","","","","","","","TWTYN"
"POINTBCN","POINT SL","","","","","","","","ESBCN"
"BENHEALGB","BENEVOLENT HEALTHCARE FOUNDATION","","","","","","","","USLGB"
"EPIDRIFAA","EPIROC DRILLING TOOLS AB","","","","","","","","SEFAA"
"ROBBAHFRL","ROBEL BAHNBAUMASCHINEN GMBH INDUSTRIESTR","","","","","","","","DEFRL"
"GANMEDYTY","GANOR MEDICAL DEVICE CO.,LTD.","","","","","","","","CNYZH"
"ASPERIBSL","ASPERIQ AG","","","","","","","","CHBSL"
"SHEBAOSZX1","SHENZHEN BAOAN AREA SHAJING DONGFANG HARDWARE FACTORY","","","","","","","","CNSZX"
"TALWORILC","TALATRANS WORLDWIDE CORP","","","","","","","","USILC"
"BRUAIRBRU1","BRUSSELS AIRLINES","","","","","","","","BEBRU"
"SAHMHAM","SAHM GMBH & CO KG","","","","","","","","DEHAM"
"GRAINTHKG1","GRANTECH INTERNATIONAL ENGINEERING LIMITED","","","","","","","","HKHKG"
"DONHERDYA","DONGYANG HERBEAUTY CO. LTD.","","","","","","","","CNDYA"
"FUJEKSFZG","FUJIAN EKSAPOWER IMP. & EXP. CO. LTD.","","","","","","","","CNFZG"
"LEIGEOMEA","LEICA GEOSYSTEMS SAS","","","","","","","","FRMEA"
"ZHEYIPZHE","ZHEJIANG YIPU METAL MANUFACTURING CO LTD.","","","","","","","","CNZHE"
"DEUCHETPE","DEUCHEM CO LTD","","","","","","","","TWTPE"
"HRLTECBNE","HRL TECHNOOLGY GROUP PT LTD.","","","","","","","","AUBNE"
"ERIMAGAFE","ERIEZ MAGNETICS PTY. LTD","","","","","","","","AUVTP"
"SVIARE","SVI S.P.A.","","","","","","","","ITARE"
"ZHESOLSHA","ZHEJIANG SOLERAD ENVIRONMENT","","","","","","","","CNSHA"
"DEPOFSSFO","DEPARTMENT OF STATE ST/TO","","","","","","","","USSFO"
"MTSTRUMNL","MTS TRUCKING INCORPORATED","","","","","","","","PHMNL"
"SAZCORMNL","SAZA CORP.","","","","","","","","PHMNL"
"BIOEURMNL","BIOREGEN EURO INC.","","","","","","","","PHMNL"
"HANWELSZV","HANGZHOU WELLJOY HOUSEHOLD PRODUCTS CO.,LTD.","","","","","","","","CNSZH"
"SCHINDAFE","SCHENKER INDIA PRIVATE LIMITED","","","","","","","","INBOM"
"SHILONMNL","SHIJIAZHUANG LONGSHOW HOME TEXTILES CO., LTD.","","","","","","","","PHMNL"
"CIRDRUBOM","CIRON DRUGS & PHARMACEUTICALS PVT LTD.","","","","","","","","INBOM"
"FOSLIAFOS1","FOSHAN LIANJIANG FURNITURE CO., LTD.","","","","","","","","CNFOS"
"AIRDEFMAD","AIRBUS DEFENCE & SPACE","","","","","","","","ESMAD"
"SHEJPTSZX","SHENZHEN JPT OPTO-ELECTRONICS CO.., LTD","","","","","","","","CNSZX"
"NTGAIRNYC","NTG AIR & OCEAN, LLC","","","","","","","","USNYC"
"SKRPROMNL","SKRENE PROPERTIES INC.","","","","","","","","PHMNL"
"SPALECDUI","SPALECK GMBH","","","","","","","","DEDUI"
"GRAMACMNL","GRAND MACHINERY INC","","","","","","","","PHMNL"
"ABBFRABAB","ABB FRANCE1 AVENUE DES VICTIES DU","","","","","","","","FRBAB"
"FABRIMMNL","FABRIMETRICS","","","","","","","","PHMNL"
"ALISPEVCE","ALISPED S.P.A.","","","","","","","","ITVCE"
"CARMORATL","CAROLINA MORNING FIREWOOD","","","","","","","","USATL"
"GUAINTCNGUT","GUANGDONG INTEGRITY AND PROSPEROUS EXPORT SERVICE CO LTD","","","","","","","","CNGUT"
"BAOSINSGN","BAO-SIN CO LTD","","","","","","","","VNSGN"
"SHAAKEHKG","SHANE AKEROYD COLLECTION","","","","","","","","HKHKG"
"MATCONLDY","MATCON LIMITED","","","","","","","","GBLDY"
"INFQUAMNL1","INFINITE QUALITY DESIGNS CENTER INC.","","","","","","","","PHMNL"
"LABAMBDVO","LA BAMBA FASHION","","","","","","","","PHDVO"
"GUATAILNJ","GUANGZHOU TAIPENG HOME APPLIANCES FACTORY","","","","","","","","CNLNJ"
"EFAINDFDS","EFA INDUSTRIAL PARTS & EQUIPMENT","","","","","","","","FRFDS"
"TDSSEAAFE","TDS SEAEVER EXHIBITION SERVICE CO LTD","","","","","","","","CNSZX"
"CRACLOMNL","CRAFT CLOTHING","","","","","","","","PHMNL"
"TRUTACJNB","TRU-TAC ROLLERS (PTY) LTD","","","","","","","","ZAJNB"
"NUTCDOCGY","NUTRIMAX CDO PLANT","","","","","","","","PHCGY"
"PNEPOWSEK","PNEU POWDERS SYSTEMS SDN BHD","","","","","","","","MYSEK"
"SHAHUAAFE","SHANDONG HUALI ELECTRO MECHANICAL CO., LTD HE AND SONS CORP.","","","","","","","","CNSHA"
"ZHOSAQZGA","ZHONGSHAN SAQIANG IMPORT AND EXPORT TRADING CO.,LTD.","","","","","","","","CNZGA"
"XUZCONXUZ","XUZHOU CONSTRUCTION MACHINERY GROUP IMP. & EXP. CO., LTD.","","","","","","","","CNXZH"
"VIKSOLAMD","VIKRAM SOLUTIONS","","","","","","","","INAMD"
"MSCWARJFK","MSC WAREHOUSE","","","","","","","","USJFK"
"ZHOUNIAFE","ZHONGZHAN UNION INTERNATIONAL","","","","","","","","CNBJS"
"RUSTITQIW","RUSKIN TITUS GULF MANUFACTURING LLC","","","","","","","","AEQIW"
"HALCHISHA","HALMA CHINA GROUP","","","","","","","","CNSGH"
"MARCHRSYD","MARIA CHRISTINA GEMA ROXAS","","","","","","","","AUSYD"
"SHITIASHA","SHIJIAZHUANG TIANZEHENG TRADE CO. LTD","","","","","","","","CNSHA"
"VITMIXCLE","VITA-MIX CORPORATION","","","","","","","","USCLE"
