ID,Full Name,Is Active
ADYTRU,ADYZEL TRUCKING,1
DELTRU,DELIBEERY TRUCKING,1
EVOTRA,EVOLVE TRANSPORT,1
G2XTRA,G2X TRANSPORT INC,1
JCKLOG,JACKPORTZ LOGISTICS,1
JSMTRU,J SIMS TRUC CORP.,1
JEKHAS,JEKKO HAULING SERVICE (NP),1
KENLOG,KEN LOGISTICS,1
LEOLOG,LEONORE LOGISTICS & MANAGEMENT,1
LLMOVE,LLMOVERS,1
MRETRA,M.R.E. TRANSPORT SERVICES,1
MAD360,MADEV360 MOVERS,1
MALEXP,MALVAR EXPRESS,1
MAREXP,MARRON WORLD EXPRESS,1
NESMAR,NESTOR MARTIN,1
NINTRU,NINJEN TRUCKING,1
NEOCAM,NEOTRAX CARGO MOVERS,1
PREMOV,PRECIOUS MOVERS INC.,1
PESTRU,PESIG TRUCKING,1
RANLOG,RAÑA CARGO LOGISTICS,1
RDNTRA,RDNAVARRO TRANSPORT CORP.,1
RGETRU,RGEM TRUCKING SERVICES,1
RJLOGI,RJ LOGISTICS,1
RUSHEL,RUSSEL HELMO TRUCKING SERVICES,1
STACDA,STACEYS DAWN,1
TKHS,TKHS,1
TMCTRU,TMC TRUCKING,1
WILSAL,WILLIAM SALUTILLO,1
SHUKEXP,SHUKRAN EXPRESS TRUCKING SERVICES,1
GLMTRU,GLMS TRUCKING,1
LIMCON,LIMBAWAN CONSUMER GOODS TRADING,1
LIAMM,LIAM-M,1
SIDINC,SIDELIFTER INC.,1
RIBTRU,RJB TRUCKING,1
CELTRA,CELYLE TRANSPORT,1
ELRGOLD,ELROMYZA GOLDEN TRADING,1
DEETRU,DEEGEE TRUCKING,1
RDNTRA,RDNAVARRO TRANSPORT CORP.,1
CARBAY,CARGO BAYAN,1
EPILOG,EPIC LOGISTIC,1
JAGLOB,JA GLOBAL,1
HOKTRU,HOKDAA TRUCKING,1
CARKIN,CARGO KING,1
JAGMOV,JAGC MOVERS,1
OYTANA,OYTANA,1
GAPUZA,GAPUZAN,1
IMPJEL,IMPEXPRO/JELCY,1
LUXFRE,LUXURY FREIGHT,1
KENLOG,KEN LOGISTICS,1
PALTRU,PALASUELO TRUCKING,1
CARDIE,CARPE DIEM,1
BYGHAU,BYGRACE HAULING CORPORATION,1
LODCOR,LODIAN CORPORATION,1
BLMTRU,BLM TRUCKING,1
SATTRU,SATAIRAPAN TRUCKING,1
BNKTRU,BNK TRUCKING,1
MILTRU,MILBROS TRUCKING,1
BONCAR,BONAGUA CARRGO,1
CDPESA,CDPESA,1
CONSER,CONSERTINO,1
VILTRU,VILLADO TRUCKING SERVICES,1
LILLOG,LI'L BROTHER LOGISTICS INC.,1
BIETRU,BIENIKE TRUCKING SERVICES,1
FAVTRU,FAVWAY TRUCKING SERVICE,1
PTRLOG,PTR LOGISTICS SERVICES,1
FLTRLO,FLOW TRANS + LOGIS INC. (VNB),1
GRAGLE,GRANT AND GLENN TRUCKING SERVICES,1
RONELI,RONELIZ,1
YELBAL,YELLOW BALL HEAVY LIFT INC.,1
SILTRA,SILVER STEAK TRANSPORT INC,1
ROIBRK,RO ILAGAN CUSTOMS BROKERAGE,1
REYREN,REY -D TOWING & EQUIPMENT RENTAL,1
RVMANZ,RV MANZAN,1
RAVREN,RAVAGO EQUIPMENT RENTAL,1
CBBE,CBBE,1
2SLTRU,2SL TRUCKING & LOGISTICS,1
RIGCOM,THE RIGGING COMPANY LTD.,1
MICHEA,ST. MICHAEL HEAVYLIFT,1
247CAR,24-7 CARGO HANDLING SERVICES,1
NEWTOP,NEW TOP,1
BORMAH,BORMAHECO,1
JOECHA,JOEL CHAVEZ GROUP,1
FELTRA,FELPET TRADING AND MATERIALS RECOVERY SERVICES,1
