Site,Building,Zone,Aisle,Bay,Level,Location Code,Storage Type,Status,Branch,Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-01,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-01,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-01,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-01,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-02,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-02,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-02,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-02,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-03,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-03,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-03,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-03,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-04,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-04,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-04,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-04,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-05,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-05,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-05,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-05,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-06,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-06,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-06,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-06,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-07,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-07,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-07,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-07,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-08,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-08,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-08,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-08,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-09,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-09,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-09,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-09,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-10,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-10,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-10,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-10,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-11,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-11,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-11,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-11,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-12,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-12,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-12,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-12,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-13,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-13,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-13,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-13,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-14,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-14,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-14,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-14,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-15,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-15,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-15,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-15,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-16,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-16,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-16,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-16,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-17,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-17,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-17,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-17,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-18,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-18,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-18,Level-3,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-18,Level-4,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-19,Level-1,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
Site-ATN,Building-DIMI,Zone-MAIN,Aisle-A,Bay-19,Level-2,01,RACK,Available,Test-Air-Freight-Company-Test-Branch,Test Air Freight Company
